time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/std
32768,1879,1,-23.063015080000003,0.04,17,96.04,,,,,,,,,,,
65536,1485,2,-27.091319669999997,0.05,44,95.26,0.2,-5.7023727130144835,-0.06351268291473389,10,0.077054396,-0.00968821813194154,0.09265018302066892,-0.0385068915784359,0.1204193115234375,0.001,0.994494616985321
98304,1392,3,-23.059948679999998,0.01,70,99.01,0.2,-5.666424971818924,0.7371528148651123,20,0.13503197,-0.010274635340738313,0.04207301086480584,-0.050440527498722076,0.2054473876953125,0.001,0.9925804138183594
131072,1349,4,-22.263300260000005,0.04,97,96.22,0.2,-5.637989218533039,0.8222926408052444,30,1.0804402,-0.017416430708726692,0.03582796483597121,-0.04767392948269844,0.28907470703125,0.001,0.983274519443512
163840,1326,5,-19.964188720000003,0.03,123,97.12,0.2,-5.586230145581067,0.8423771262168884,40,0.24992305,-0.021534750870887364,0.024700270019275196,0.005695500411093235,0.3351898193359375,0.001,0.9762043356895447
196608,1315,6,-17.387622430000004,0.04,149,96.17,0.2,-5.528232968598604,0.8582412451505661,50,0.60837126,-0.0335654148751928,0.01813818189630183,-0.07380872964859009,0.3718719482421875,0.001,0.9600905776023865
229376,1311,7,-17.16615796,0.03,174,97.03,0.2,-5.491956438496709,0.926595002412796,60,0.17693564,-0.024373948814536563,0.009687452384650897,-0.03163360804319382,0.373138427734375,0.001,0.9498041868209839
262144,1313,8,-19.655384659999996,0.02,199,98.02,0.2,-5.419648561067879,0.9252761155366898,70,0.19664219,-0.0238810625413862,0.010737010266848302,-0.05037863925099373,0.4040313720703125,0.001,0.9321550130844116
294912,1314,9,-18.97232421,0.04,224,96.04,0.2,-5.357218382041902,0.9326517656445503,80,0.42316496,-0.024983117388092068,0.009156219673991472,-0.04928494617342949,0.4132293701171875,0.001,0.918539822101593
327680,1310,10,-18.834158079999998,0.03,250,97.26,0.2,-5.290640626568347,0.9486910589039326,90,0.31619215,-0.02442972979588376,0.008525683320522148,-0.0505770705640316,0.41690673828125,0.001,0.9063858985900879
360448,1308,11,-18.0191292,0.04,275,96.04,0.2,-5.247421751264483,0.9568222463130951,100,0.56273216,-0.02431561995717857,0.007010648849586687,-0.026162924244999886,0.4358795166015625,0.001,0.8925906419754028
393216,1311,12,-18.25296622,0.03,299,97.03,0.2,-5.206587299425155,0.9666837826371193,110,0.11255768,-0.02394314159591886,0.0040634943384816324,-0.03469650074839592,0.43201904296875,0.001,0.8884267807006836
425984,1311,13,-18.736010970000002,0.0,324,100.0,0.2,-5.157045433484018,0.965618446469307,120,0.29824525,-0.023448897287016733,0.007304535121443223,-0.06855952739715576,0.4381378173828125,0.001,0.8736803531646729
458752,1312,14,-19.36478564,0.06,349,94.06,0.2,-5.1048963849432765,0.9809859190136194,130,0.10153754,-0.021255981066133245,0.0026954333221056006,-0.014661628752946854,0.4510101318359375,0.001,0.8643679022789001
491520,1315,15,-18.554889250000002,0.05,373,95.05,0.2,-5.054784324765206,0.952298779040575,140,0.38998795,-0.013722267710909364,0.016334717155223187,-0.03770239278674126,0.4553070068359375,0.001,0.850980281829834
524288,1318,16,-17.62403228,0.04,397,96.04,0.2,-5.003696404583752,0.9626544415950775,150,0.18591847,-0.02145842920153882,0.008707391902657947,-0.0397760234773159,0.4953857421875,0.001,0.8433141708374023
557056,1319,17,-18.12418622,0.03,422,97.03,0.2,-4.959444583300501,0.9578221887350082,160,0.70104474,-0.01497672420418894,0.027664289217818806,0.046361856162548065,0.4830841064453125,0.001,0.8323326110839844
589824,1321,18,-17.45147825,0.04,446,96.04,0.2,-4.932249805890024,0.9696561880409718,170,0.55534244,-0.014993583239083818,0.009121803614675628,-0.05159858614206314,0.5124542236328125,0.001,0.8238776326179504
622592,1322,19,-18.38800334,0.03,470,97.03,0.2,-4.874431411642581,0.9866172214969993,180,0.16147554,-0.01996474077723178,0.002291972399439146,-0.06044022738933563,0.511181640625,0.001,0.8174984455108643
