rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/actor_loss,time/episodes,time/total_timesteps,train/ent_coef_loss,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,train/ent_coef
0.0,100.0,1,818,93,-5.750263214111328,4,1600,-0.6188462972640991,0.11368543654680252,0.001,-36.754641625,0.9120401740074158
0.0,100.0,1,817,,,8,1600,,,,-36.754641625,
0.0,100.0,1,817,,,12,1600,,,,-36.754641625,
0.0,100.0,1,817,,,16,1600,,,,-36.754641625,
0.0,100.0,3,852,193,-6.13189697265625,20,3200,-1.2935936450958252,0.0590486116707325,0.001,-37.74992143750001,0.8251879811286926
0.0,100.0,3,851,,,24,3200,,,,-37.74992143750001,
0.0,100.0,3,851,,,28,3200,,,,-37.74992143750001,
0.0,100.0,3,851,,,32,3200,,,,-37.74992143750001,
0.0,100.0,5,852,293,-6.581368923187256,36,4800,-1.9626457691192627,0.05049236863851547,0.001,-38.53751366666666,0.746630847454071
0.0,100.0,5,852,,,40,4800,,,,-38.53751366666666,
0.0,100.0,5,852,,,44,4800,,,,-38.53751366666666,
0.0,100.0,5,852,,,48,4800,,,,-38.53751366666666,
0.0,100.0,7,856,393,-6.970605850219727,52,6400,-2.6337485313415527,0.028321249410510063,0.001,-38.68587975,0.6755961775779724
0.0,100.0,7,856,,,56,6400,,,,-38.68587975,
0.0,100.0,7,856,,,60,6400,,,,-38.68587975,
0.0,100.0,7,856,,,64,6400,,,,-38.68587975,
0.0,100.0,9,853,493,-7.294278144836426,68,8000,-3.297379732131958,0.02243790403008461,0.001,-38.9458151125,0.6112845540046692
0.0,100.0,9,853,,,72,8000,,,,-38.9458151125,
0.0,100.0,9,853,,,76,8000,,,,-38.9458151125,
0.0,100.0,9,853,,,80,8000,,,,-38.9458151125,
0.0,100.0,11,848,593,-7.65718936920166,84,9600,-3.9756908416748047,0.02256510779261589,0.001,-38.934203197916666,0.5531046986579895
0.0,100.0,11,847,,,88,9600,,,,-38.934203197916666,
0.0,100.0,11,847,,,92,9600,,,,-38.934203197916666,
0.0,100.0,11,847,,,96,9600,,,,-38.934203197916666,
0.0,100.0,13,844,693,-7.929710865020752,100,11200,-4.635244369506836,0.015708226710557938,0.001,-38.95140277,0.5004796385765076
0.0,100.0,13,844,,,104,11200,,,,-38.95140277,
0.0,100.0,13,844,,,108,11200,,,,-38.95140277,
0.0,100.0,13,844,,,112,11200,,,,-38.95140277,
0.0,100.0,15,848,793,-8.163942337036133,116,12800,-5.323984146118164,0.0157802551984787,0.001,-39.112740200000005,0.4528447687625885
0.0,100.0,15,848,,,120,12800,,,,-39.112740200000005,
0.0,100.0,15,848,,,124,12800,,,,-39.112740200000005,
0.0,100.0,15,848,,,128,12800,,,,-39.112740200000005,
0.0,100.0,16,855,893,-8.409253120422363,132,14400,-5.976511001586914,0.012970357201993465,0.001,-38.80511382,0.40974926948547363
0.0,100.0,16,855,,,136,14400,,,,-38.80511382,
0.0,100.0,16,855,,,140,14400,,,,-38.80511382,
0.0,100.0,16,855,,,144,14400,,,,-38.80511382,
0.0,100.0,18,861,993,-8.591927528381348,148,16000,-6.687727928161621,0.01481320708990097,0.001,-38.69474795,0.37075331807136536
0.0,100.0,18,861,,,152,16000,,,,-38.69474795,
0.0,100.0,18,860,,,156,16000,,,,-38.69474795,
0.0,100.0,18,860,,,160,16000,,,,-38.69474795,
0.0,100.0,20,863,1093,-8.813318252563477,164,17600,-7.372302055358887,0.0116786053404212,0.001,-38.11717161,0.33547115325927734
0.0,100.0,20,863,,,168,17600,,,,-38.11717161,
0.0,100.0,20,863,,,172,17600,,,,-38.11717161,
0.0,100.0,20,863,,,176,17600,,,,-38.11717161,
0.0,100.0,22,866,1193,-8.924808502197266,180,19200,-8.043073654174805,0.009414885193109512,0.001,-37.8145901,0.3035437762737274
0.0,100.0,22,866,,,184,19200,,,,-37.8145901,
0.0,100.0,22,866,,,188,19200,,,,-37.8145901,
0.0,100.0,22,866,,,192,19200,,,,-37.8145901,
0.0,100.0,23,869,1293,-9.024286270141602,196,20800,-8.656883239746094,0.008623946458101273,0.001,-38.05300584,0.27467456459999084
0.0,100.0,23,869,,,200,20800,,,,-38.05300584,
0.0,100.0,23,869,,,204,20800,,,,-38.05300584,
0.0,100.0,23,869,,,208,20800,,,,-38.05300584,
0.0,100.0,25,866,1393,-9.173544883728027,212,22400,-9.344352722167969,0.009143668226897717,0.001,-37.87847933,0.24853700399398804
0.0,100.0,25,866,,,216,22400,,,,-37.87847933,
0.0,100.0,25,866,,,220,22400,,,,-37.87847933,
0.0,100.0,25,866,,,224,22400,,,,-37.87847933,
0.0,100.0,27,866,1493,-9.305389404296875,228,24000,-9.97895622253418,0.007141179870814085,0.001,-37.74468201,0.22489354014396667
0.0,100.0,27,866,,,232,24000,,,,-37.74468201,
0.0,100.0,27,866,,,236,24000,,,,-37.74468201,
0.0,100.0,27,866,,,240,24000,,,,-37.74468201,
0.0,100.0,29,868,1593,-9.38740348815918,244,25600,-10.736023902893066,0.007462242618203163,0.001,-37.835632839999995,0.2035142332315445
0.0,100.0,29,868,,,248,25600,,,,-37.835632839999995,
0.0,100.0,29,868,,,252,25600,,,,-37.835632839999995,
0.0,100.0,29,868,,,256,25600,,,,-37.835632839999995,
0.0,100.0,31,867,1693,-9.480685234069824,260,27200,-11.368697166442871,0.00534644303843379,0.001,-37.73822238,0.1841631680727005
0.0,100.0,31,867,,,264,27200,,,,-37.73822238,
0.0,100.0,31,867,,,268,27200,,,,-37.73822238,
0.0,100.0,31,867,,,272,27200,,,,-37.73822238,
0.0,100.0,33,869,1793,-9.523685455322266,276,28800,-12.010714530944824,0.005741697270423174,0.001,-37.68346726,0.1666557937860489
0.0,100.0,33,869,,,280,28800,,,,-37.68346726,
0.0,100.0,33,869,,,284,28800,,,,-37.68346726,
0.0,100.0,33,869,,,288,28800,,,,-37.68346726,
0.0,100.0,35,867,1893,-9.501232147216797,292,30400,-12.785730361938477,0.005401028320193291,0.001,-37.637576599999996,0.15082776546478271
0.0,100.0,35,867,,,296,30400,,,,-37.637576599999996,
0.0,100.0,35,867,,,300,30400,,,,-37.637576599999996,
0.0,100.0,35,867,,,304,30400,,,,-37.637576599999996,
0.0,100.0,36,866,1993,-9.577061653137207,308,32000,-13.290472030639648,0.004718727432191372,0.001,-37.55351802,0.1365087479352951
0.0,100.0,36,866,,,312,32000,,,,-37.55351802,
0.0,100.0,36,866,,,316,32000,,,,-37.55351802,
0.0,100.0,36,866,,,320,32000,,,,-37.55351802,
0.0,100.0,38,866,2093,-9.649839401245117,324,33600,-13.988332748413086,0.005182566121220589,0.001,-37.424362040000005,0.12355648726224899
0.0,100.0,38,866,,,328,33600,,,,-37.424362040000005,
0.0,100.0,38,866,,,332,33600,,,,-37.424362040000005,
0.0,100.0,38,866,,,336,33600,,,,-37.424362040000005,
0.0,100.0,40,867,2193,-9.546001434326172,340,35200,-14.628249168395996,0.003867268329486251,0.001,-37.09614486,0.11184182018041611
0.0,100.0,40,867,,,344,35200,,,,-37.09614486,
0.0,100.0,40,866,,,348,35200,,,,-37.09614486,
0.0,100.0,40,866,,,352,35200,,,,-37.09614486,
0.0,100.0,42,867,2293,-9.590287208557129,356,36800,-15.333780288696289,0.0034492320846766233,0.001,-36.9697295,0.10124083608388901
0.0,100.0,42,867,,,360,36800,,,,-36.9697295,
0.0,100.0,42,867,,,364,36800,,,,-36.9697295,
0.0,100.0,42,867,,,368,36800,,,,-36.9697295,
0.0,100.0,44,870,2393,-9.612668991088867,372,38400,-16.16968536376953,0.003014132846146822,0.001,-36.52907614,0.09165170043706894
0.0,100.0,44,870,,,376,38400,,,,-36.52907614,
0.0,100.0,44,870,,,380,38400,,,,-36.52907614,
0.0,100.0,44,870,,,384,38400,,,,-36.52907614,
0.0,100.0,45,871,2493,-9.626264572143555,388,40000,-16.527305603027344,0.0031159156933426857,0.001,-36.94757933,0.0829785019159317
0.0,100.0,45,871,,,392,40000,,,,-36.94757933,
0.0,100.0,45,871,,,396,40000,,,,-36.94757933,
0.0,100.0,45,871,,,400,40000,,,,-36.94757933,
0.0,100.0,47,871,2593,-9.549827575683594,404,41600,-17.23137664794922,0.0027779738884419203,0.001,-36.89612431999999,0.07513580471277237
0.0,100.0,47,871,,,408,41600,,,,-36.89612431999999,
0.0,100.0,47,871,,,412,41600,,,,-36.89612431999999,
0.0,100.0,47,871,,,416,41600,,,,-36.89612431999999,
0.0,100.0,49,870,2693,-9.488485336303711,420,43200,-17.863201141357422,0.003500381950289011,0.001,-36.9853711,0.06804278492927551
0.0,100.0,49,870,,,424,43200,,,,-36.9853711,
0.0,100.0,49,870,,,428,43200,,,,-36.9853711,
0.0,100.0,49,870,,,432,43200,,,,-36.9853711,
0.0,100.0,51,868,2793,-9.474023818969727,436,44800,-18.453079223632812,0.0028242827393114567,0.001,-36.826036959999996,0.06162773445248604
0.0,100.0,51,868,,,440,44800,,,,-36.826036959999996,
0.0,100.0,51,868,,,444,44800,,,,-36.826036959999996,
0.0,100.0,51,868,,,448,44800,,,,-36.826036959999996,
0.0,100.0,53,870,2893,-9.476222038269043,452,46400,-19.119152069091797,0.0023937057703733444,0.001,-37.00535931,0.055824875831604004
0.0,100.0,53,870,,,456,46400,,,,-37.00535931,
0.0,100.0,53,870,,,460,46400,,,,-37.00535931,
0.0,100.0,53,870,,,464,46400,,,,-37.00535931,
0.0,100.0,55,872,2993,-9.440839767456055,468,48000,-19.620010375976562,0.001983900088816881,0.001,-37.08744121,0.05058254301548004
0.0,100.0,55,872,,,472,48000,,,,-37.08744121,
0.0,100.0,55,872,,,476,48000,,,,-37.08744121,
0.0,100.0,55,872,,,480,48000,,,,-37.08744121,
0.0,100.0,56,876,3093,-9.475399017333984,484,49600,-20.199092864990234,0.0024386995937675238,0.001,-36.13790200000001,0.04584129899740219
0.0,100.0,56,876,,,488,49600,,,,-36.13790200000001,
0.0,100.0,56,876,,,492,49600,,,,-36.13790200000001,
0.0,100.0,56,876,,,496,49600,,,,-36.13790200000001,
0.0,100.0,58,879,3193,-9.392290115356445,500,51200,-20.54120445251465,0.0020737170707434416,0.001,-35.88902703,0.041548069566488266
0.0,100.0,58,879,,,504,51200,,,,-35.88902703,
0.0,100.0,58,879,,,508,51200,,,,-35.88902703,
0.0,100.0,58,879,,,512,51200,,,,-35.88902703,
0.0,100.0,59,883,3293,-9.281436920166016,516,52800,-21.341114044189453,0.0015612075803801417,0.001,-35.48832289,0.03766556829214096
0.0,100.0,59,883,,,520,52800,,,,-35.48832289,
0.0,100.0,59,883,,,524,52800,,,,-35.48832289,
0.0,100.0,59,883,,,528,52800,,,,-35.48832289,
0.0,100.0,61,883,3393,-9.33709716796875,532,54400,-21.399263381958008,0.0017584157176315784,0.001,-34.94494262,0.03415623679757118
0.0,100.0,61,883,,,536,54400,,,,-34.94494262,
0.0,100.0,61,883,,,540,54400,,,,-34.94494262,
0.0,100.0,61,883,,,544,54400,,,,-34.94494262,
0.0,100.0,63,886,3493,-9.28823184967041,548,56000,-22.297374725341797,0.0014492371119558811,0.001,-34.67977231,0.03098268061876297
0.0,100.0,63,886,,,552,56000,,,,-34.67977231,
0.0,100.0,63,886,,,556,56000,,,,-34.67977231,
0.0,100.0,63,886,,,560,56000,,,,-34.67977231,
0.0,100.0,64,888,3593,-9.22630500793457,564,57600,-22.364364624023438,0.0015441153664141893,0.001,-34.739200669999995,0.028107967227697372
0.0,100.0,64,888,,,568,57600,,,,-34.739200669999995,
0.0,100.0,64,888,,,572,57600,,,,-34.739200669999995,
0.0,100.0,64,888,,,576,57600,,,,-34.739200669999995,
0.0,100.0,66,889,3693,-9.112905502319336,580,59200,-23.61105728149414,0.001272168941795826,0.001,-34.395174929999996,0.025507645681500435
0.0,100.0,66,889,,,584,59200,,,,-34.395174929999996,
0.0,100.0,66,889,,,588,59200,,,,-34.395174929999996,
0.0,100.0,66,889,,,592,59200,,,,-34.395174929999996,
