train/ent_coef_loss,rollout/success_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps
-9.4467294216156,0.0,-27.568869948387146,0.24565376341342926,0.0035664138558786362,0.0003,4,-8.033498625,13,349,300.0,4688,4800
,0.0,,,,,8,-8.033498625,13,349,300.0,,4800
,0.0,,,,,12,-8.033498625,13,349,300.0,,4800
,0.0,,,,,16,-8.033498625,13,349,300.0,,4800
-18.646257877349854,0.03125,-27.60151767730713,0.05849611712619662,0.002410741988569498,0.0003,20,-7.719349625,28,342,290.65625,9488,9600
,0.03125,,,,,24,-7.719349625,28,342,290.65625,,9600
,0.03125,,,,,28,-7.719349625,28,342,290.65625,,9600
,0.03125,,,,,32,-7.719349625,28,342,290.65625,,9600
-25.420886993408203,0.020833333333333332,-22.63070285320282,0.014155646145809442,0.0016749852438806556,0.0003,36,-8.2089636875,42,339,293.7708333333333,14288,14400
,0.020833333333333332,,,,,40,-8.2089636875,42,339,293.7708333333333,,14400
,0.020833333333333332,,,,,44,-8.2089636875,42,339,293.7708333333333,,14400
,0.020833333333333332,,,,,48,-8.2089636875,42,339,293.7708333333333,,14400
-10.741145133972168,0.015625,-17.59859561920166,0.004190256237052381,0.002844694499799516,0.0003,52,-8.0983275625,56,338,295.328125,19088,19200
,0.015625,,,,,56,-8.0983275625,56,338,295.328125,,19200
,0.015625,,,,,60,-8.0983275625,56,338,295.328125,,19200
,0.015625,,,,,64,-8.0983275625,56,338,295.328125,,19200
3.824243437498808,0.0125,-13.386183679103851,0.001499826306826435,0.0011418973408581223,0.0003,68,-8.0300731,70,339,296.2625,23888,24000
,0.0125,,,,,72,-8.0300731,70,339,296.2625,,24000
,0.0125,,,,,76,-8.0300731,70,339,296.2625,,24000
,0.0125,,,,,80,-8.0300731,70,339,296.2625,,24000
5.197505131363869,0.010416666666666666,-10.023237764835358,0.0012136613731854595,0.001902299300127197,0.0003,84,-8.081195541666666,84,340,296.8854166666667,28688,28800
,0.010416666666666666,,,,,88,-8.081195541666666,84,340,296.8854166666667,,28800
,0.010416666666666666,,,,,92,-8.081195541666666,84,340,296.8854166666667,,28800
,0.010416666666666666,,,,,96,-8.081195541666666,84,340,296.8854166666667,,28800
-0.4316783845424652,0.01,-7.416905701160431,0.0014852126623736694,0.0002867475905077299,0.0003,100,-8.34375343,98,341,297.01,33488,33600
,0.01,,,,,104,-8.34375343,98,341,297.01,,33600
,0.01,,,,,108,-8.34375343,98,341,297.01,,33600
,0.01,,,,,112,-8.34375343,98,341,297.01,,33600
-3.321947429329157,0.0,-5.405511558055878,0.0015537435610895045,0.00016678446809237357,0.0003,116,-8.04412496,112,341,300.0,38288,38400
,0.0,,,,,120,-8.04412496,112,341,300.0,,38400
,0.0,,,,,124,-8.04412496,112,341,300.0,,38400
,0.0,,,,,128,-8.04412496,112,341,300.0,,38400
6.861878156661987,0.0,-3.864708200097084,0.001092468788556289,0.00011976103041888564,0.0003,132,-7.233954669999999,126,342,300.0,43088,43200
,0.0,,,,,136,-7.233954669999999,126,342,300.0,,43200
,0.0,,,,,140,-7.233954669999999,126,342,300.0,,43200
,0.0,,,,,144,-7.233954669999999,126,342,300.0,,43200
-0.3604106083512306,0.0,-2.691222622990608,0.0007984253497852478,0.0001245909352292074,0.0003,148,-6.481007829999999,139,343,300.0,47888,48000
,0.0,,,,,152,-6.481007829999999,139,343,300.0,,48000
,0.0,,,,,156,-6.481007829999999,139,343,300.0,,48000
,0.0,,,,,160,-6.481007829999999,139,343,300.0,,48000
-0.9416107758879662,0.0,-1.8217334747314453,0.0006614363082917407,0.00012407107124090544,0.0003,164,-5.78650342,153,343,300.0,52688,52800
,0.0,,,,,168,-5.78650342,153,343,300.0,,52800
,0.0,,,,,172,-5.78650342,153,343,300.0,,52800
,0.0,,,,,176,-5.78650342,153,343,300.0,,52800
-1.825307734310627,0.0,-1.2123505845665932,0.00048143413914658595,0.00010266036497341702,0.0003,180,-4.851265409999999,167,343,300.0,57488,57600
,0.0,,,,,184,-4.851265409999999,167,343,300.0,,57600
,0.0,,,,,188,-4.851265409999999,167,343,300.0,,57600
,0.0,,,,,192,-4.851265409999999,167,343,300.0,,57600
1.029788464307785,0.01,-0.7486129552125931,0.0005148146265128162,7.197548688964162e-05,0.0003,196,-3.7602865399999996,181,344,297.01,62288,62400
,0.01,,,,,200,-3.7602865399999996,181,344,297.01,,62400
,0.01,,,,,204,-3.7602865399999996,181,344,297.01,,62400
,0.01,,,,,208,-3.7602865399999996,181,344,297.01,,62400
0.901813805103302,0.02,-0.38408841378986835,0.0005202665852266364,0.00012022086002616561,0.0003,212,-3.26315841,195,344,294.83,67088,67200
,0.02,,,,,216,-3.26315841,195,344,294.83,,67200
,0.02,,,,,220,-3.26315841,195,344,294.83,,67200
,0.02,,,,,224,-3.26315841,195,344,294.83,,67200
-0.5020430013537407,0.04,-0.3266145121306181,0.00046640326945635024,0.00013610291625809623,0.0003,228,-3.1254509600000007,198,344,289.55,68224,68336
