rollout/ep_len_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef
100.0,4,1600,0,-21.0154345,1763,0.0,,,,,,
100.0,8,1600,0,-21.0154345,1762,0.0,,,,,,
100.0,12,1600,0,-21.0154345,1761,0.0,,,,,,
100.0,16,1600,0,-21.0154345,1761,0.0,,,,,,
96.90625,20,3200,1,-23.3315245,1853,0.03125,,,,,,
96.90625,24,3200,1,-23.3315245,1853,0.03125,,,,,,
96.90625,28,3200,1,-23.3315245,1853,0.03125,,,,,,
96.90625,32,3200,1,-23.3315245,1852,0.03125,,,,,,
93.93877551020408,36,4800,2,-22.44442118367347,2001,0.061224489795918366,,,,,,
93.93877551020408,40,4800,2,-22.44442118367347,2001,0.061224489795918366,,,,,,
93.93877551020408,44,4800,2,-22.44442118367347,2001,0.061224489795918366,,,,,,
93.93877551020408,48,4800,2,-22.44442118367347,2001,0.061224489795918366,,,,,,
95.43076923076923,52,6400,3,-23.447435630769235,2039,0.046153846153846156,,,,,,
95.43076923076923,56,6400,3,-23.447435630769235,2039,0.046153846153846156,,,,,,
95.43076923076923,60,6400,3,-23.447435630769235,2039,0.046153846153846156,,,,,,
95.43076923076923,64,6400,3,-23.447435630769235,2038,0.046153846153846156,,,,,,
96.33333333333333,68,8000,3,-23.82047039506173,2006,0.037037037037037035,,,,,,
96.33333333333333,72,8000,3,-23.82047039506173,2006,0.037037037037037035,,,,,,
96.33333333333333,76,8000,3,-23.82047039506173,2006,0.037037037037037035,,,,,,
96.33333333333333,80,8000,3,-23.82047039506173,2006,0.037037037037037035,,,,,,
95.28571428571429,84,8032,4,-23.437178083333333,2003,0.047619047619047616,,,,,,
95.91752577319588,88,9600,4,-23.84588871134021,1988,0.041237113402061855,,,,,,
95.91752577319588,92,9600,4,-23.84588871134021,1988,0.041237113402061855,,,,,,
95.91752577319588,96,9600,4,-23.84588871134021,1988,0.041237113402061855,,,,,,
96.04,100,9632,4,-23.71991244,1986,0.04,,,,,,
96.04,104,11200,7,-24.769104900000002,1590,0.04,74,-5.520099639892578,0.001,0.19162626564502716,-0.4909193515777588,0.9295094609260559
96.04,108,11200,7,-24.769104900000002,1590,0.04,,,,,,
96.04,112,11200,7,-24.769104900000002,1590,0.04,,,,,,
96.04,116,11232,7,-25.09177582,1582,0.04,76,-5.556070804595947,0.001,0.31233149766921997,-0.5031039714813232,0.9276488423347473
96.48,120,12800,9,-25.47328082,1335,0.04,174,-5.948026657104492,0.001,0.07310333847999573,-1.1687004566192627,0.8409469127655029
96.48,124,12800,9,-25.47328082,1335,0.04,,,,,,
96.48,128,12800,9,-25.47328082,1335,0.04,,,,,,
96.48,132,12832,9,-25.024461849999998,1330,0.04,176,-5.950078010559082,0.001,0.103134885430336,-1.1795878410339355,0.8392650485038757
98.0,136,14400,12,-25.675972990000005,1195,0.03,274,-6.264294624328613,0.001,0.05557505786418915,-1.8423126935958862,0.7608738541603088
98.0,140,14400,12,-25.675972990000005,1195,0.03,,,,,,
98.0,144,14400,12,-25.675972990000005,1194,0.03,,,,,,
97.01,148,14416,12,-25.261157800000007,1193,0.04,275,-6.313645362854004,0.001,0.057225342839956284,-1.8485974073410034,0.7601130604743958
97.01,152,16000,14,-24.355876079999998,1123,0.04,374,-6.594634056091309,0.001,0.18730440735816956,-2.51347017288208,0.6884185671806335
97.01,156,16000,14,-24.355876079999998,1123,0.04,,,,,,
97.01,160,16000,14,-24.355876079999998,1123,0.04,,,,,,
97.01,164,16016,14,-24.44338875,1123,0.04,375,-6.646300792694092,0.001,0.05078960210084915,-2.531902551651001,0.6877294182777405
95.03,168,16736,15,-23.71234243,1089,0.06,420,-6.837311267852783,0.001,0.04472365975379944,-2.8241662979125977,0.6574352383613586
95.03,172,17600,16,-23.599588209999997,1056,0.06,474,-7.002822399139404,0.001,0.05305468291044235,-3.19229793548584,0.6228418946266174
95.03,176,17600,16,-23.599588209999997,1056,0.06,,,,,,
95.03,180,17616,16,-23.55441464,1055,0.06,475,-7.037990570068359,0.001,0.055403679609298706,-3.1881613731384277,0.6222187280654907
95.19,184,17872,17,-23.65681564,1048,0.06,491,-7.1340012550354,0.001,0.07111980020999908,-3.297178030014038,0.612338662147522
93.94,188,18784,18,-23.056648380000006,1018,0.08,548,-7.242877960205078,0.001,0.0679159164428711,-3.6962943077087402,0.5784032344818115
93.94,192,19200,19,-22.21214766,1004,0.08,574,-7.3903608322143555,0.001,0.05291842296719551,-3.848395824432373,0.5635513663291931
93.94,196,19200,19,-22.21214766,1004,0.08,,,,,,
93.94,200,19232,19,-22.22042629,1003,0.08,576,-7.354776859283447,0.001,0.046213679015636444,-3.864231586456299,0.5624252557754517
93.94,204,20384,20,-22.052319099999995,976,0.08,648,-7.591876029968262,0.001,0.3718726634979248,-4.359787464141846,0.523335337638855
93.84,208,20800,21,-21.918989590000002,967,0.09,674,-7.68743371963501,0.001,0.08329777419567108,-4.546045780181885,0.5099012851715088
93.84,212,20800,21,-21.918989590000002,967,0.09,,,,,,
93.84,216,20832,21,-21.258283919999993,966,0.09,676,-7.600343704223633,0.001,0.07370699942111969,-4.541905403137207,0.5088819861412048
93.4,220,21680,22,-21.019786870000004,949,0.09,729,-7.871412754058838,0.001,0.033463284373283386,-4.894768714904785,0.4826010465621948
93.4,224,22400,23,-20.74532767,941,0.09,774,-8.002586364746094,0.001,0.039487335830926895,-5.187755584716797,0.46136099100112915
93.4,228,22400,23,-20.74532767,941,0.09,,,,,,
93.4,232,22432,23,-20.68606322,940,0.09,776,-7.947274208068848,0.001,0.03020467422902584,-5.198197364807129,0.4604390263557434
93.86,236,23280,25,-20.581761730000004,930,0.08,829,-8.04971694946289,0.001,0.3594561517238617,-5.591464996337891,0.436665803194046
93.86,240,24000,26,-20.924500300000005,920,0.08,874,-8.186767578125,0.001,0.07088904827833176,-5.875149250030518,0.41745051741600037
93.86,244,24000,26,-20.924500300000005,920,0.08,,,,,,
93.86,248,24016,26,-20.746713970000005,920,0.08,875,-8.248391151428223,0.001,0.21113482117652893,-5.8879499435424805,0.41703304648399353
93.86,252,24752,27,-20.868345939999998,916,0.08,921,-8.371776580810547,0.001,0.030217189341783524,-6.179949760437012,0.3982853591442108
93.86,256,25600,28,-20.8608639,910,0.08,974,-8.409200668334961,0.001,0.02544977515935898,-6.547436714172363,0.37771838903427124
93.86,260,25600,28,-20.8608639,910,0.08,,,,,,
93.86,264,25616,28,-20.70904306,910,0.08,975,-8.396934509277344,0.001,0.027016570791602135,-6.559016227722168,0.3773405849933624
94.85,268,25872,28,-21.108890419999998,909,0.07,991,-8.502213478088379,0.001,0.0382574126124382,-6.682621002197266,0.3713485300540924
94.85,272,27040,30,-21.12695051,900,0.07,1064,-8.586965560913086,0.001,0.029698623344302177,-7.15540885925293,0.34520071744918823
94.85,276,27200,30,-20.87671566,898,0.07,1074,-8.703363418579102,0.001,0.046061672270298004,-7.252796173095703,0.3417651355266571
93.86,280,27216,30,-20.4359453,898,0.08,1075,-8.583755493164062,0.001,0.02569424733519554,-7.221741199493408,0.34142324328422546
94.69,284,27232,30,-20.69211646,897,0.07,1076,-8.555739402770996,0.001,0.03848898783326149,-7.220419406890869,0.34108176827430725
95.94,288,28384,31,-21.16402388,889,0.05,1148,-8.711090087890625,0.001,0.25440195202827454,-7.718567371368408,0.3173832595348358
