2026-04-01 13:22:54 | Training started | expert_reward_mean=nan
2026-04-01 13:22:54 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-01 13:22:55 | 1 | 22.5747 | 0.6633 | 1.3811 | 0.6461 | 0.7350 | 28.0563
2026-04-01 13:22:56 | 2 | 30.0769 | 0.6375 | 1.3771 | 0.6401 | 0.7370 | 38.1538
2026-04-01 13:22:57 | 3 | 35.3036 | 0.6094 | 1.3619 | 0.6343 | 0.7276 | 56.5714
2026-04-01 13:22:58 | 4 | 54.9444 | 0.6481 | 1.3416 | 0.6274 | 0.7142 | 84.6522
2026-04-01 13:22:59 | 5 | 73.8148 | 0.6538 | 1.3462 | 0.6216 | 0.7246 | 137.7143
2026-04-01 13:23:00 | 6 | 104.6316 | 0.6547 | 1.3371 | 0.6158 | 0.7213 | 169.6364
2026-04-01 13:23:02 | 7 | 172.8000 | 0.6240 | 1.2977 | 0.6068 | 0.6909 | 246.7500
2026-04-01 13:23:03 | 8 | 245.7500 | 0.6730 | 1.2644 | 0.5997 | 0.6647 | 263.1429
2026-04-01 13:23:04 | 9 | 209.1111 | 0.6573 | 1.2333 | 0.5902 | 0.6431 | 246.8571
2026-04-01 13:23:05 | 10 | 270.4286 | 0.7471 | 1.3133 | 0.5797 | 0.7336 | 207.7778
2026-04-01 13:23:07 | 11 | 271.8571 | 0.7954 | 1.2373 | 0.5730 | 0.6643 | 229.0000
2026-04-01 13:23:08 | 12 | 273.8571 | 0.8012 | 1.2477 | 0.5622 | 0.6855 | 239.8750
2026-04-01 13:23:09 | 13 | 266.7143 | 0.6433 | 1.2283 | 0.5528 | 0.6755 | 243.7500
2026-04-01 13:23:10 | 14 | 256.4286 | 0.6511 | 1.2638 | 0.5448 | 0.7189 | 217.1250
2026-04-01 13:23:12 | 15 | 195.1111 | 0.5886 | 1.2584 | 0.5343 | 0.7241 | 281.8571
2026-04-01 13:23:13 | 16 | 221.4444 | 0.5429 | 1.2160 | 0.5229 | 0.6931 | 252.8333
2026-04-01 13:23:14 | 17 | 276.5714 | 0.5254 | 1.3710 | 0.5169 | 0.8541 | 286.3333
2026-04-01 13:23:15 | 18 | 282.7143 | 0.5009 | 1.3178 | 0.5110 | 0.8068 | 252.6000
2026-04-01 13:23:16 | 19 | 178.9000 | 0.4861 | 1.4037 | 0.5036 | 0.9001 | 260.5714
2026-04-01 13:23:18 | 20 | 411.7500 | 0.4793 | 1.4825 | 0.5091 | 0.9735 | 385.5000
2026-04-01 13:23:20 | 21 | 581.0000 | 0.4840 | 1.4148 | 0.5158 | 0.8989 | 276.3333
2026-04-01 13:23:21 | 22 | 288.5000 | 0.4943 | 1.4814 | 0.5342 | 0.9472 | 388.6000
2026-04-01 13:23:22 | 23 | 268.7143 | 0.5228 | 1.5500 | 0.5531 | 0.9969 | 433.0000
2026-04-01 13:23:24 | 24 | 382.8000 | 0.5163 | 1.5493 | 0.5717 | 0.9775 | 575.0000
