2026-04-02 14:50:31 | Training started | num_expert_samples=5000
2026-04-02 14:50:31 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:52:36 | Training started | num_expert_samples=5000
2026-04-02 14:52:36 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:57:41 | Training started | num_expert_samples=5000
2026-04-02 14:57:41 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:57:53 | 1 | -122.8234 | 4.3895 | 1.3657 | 0.6985 | 0.6673 | -120.2907
2026-04-02 14:58:05 | 2 | -118.0791 | 4.3882 | 1.3546 | 0.6876 | 0.6670 | -119.5288
2026-04-02 14:58:17 | 3 | -118.4061 | 4.3698 | 1.3435 | 0.6772 | 0.6663 | -119.9586
2026-04-02 14:58:30 | 4 | -116.0953 | 4.3258 | 1.3330 | 0.6670 | 0.6660 | -119.5085
2026-04-02 14:58:42 | 5 | -116.9493 | 4.3106 | 1.3227 | 0.6576 | 0.6651 | -118.8671
2026-04-02 14:58:54 | 6 | -111.2431 | 4.2844 | 1.3132 | 0.6480 | 0.6651 | -109.0792
2026-04-02 14:59:05 | 7 | -117.5122 | 4.2493 | 1.3012 | 0.6395 | 0.6617 | -111.5629
2026-04-02 14:59:17 | 8 | -113.8466 | 4.2205 | 1.2928 | 0.6310 | 0.6618 | -109.1801
2026-04-02 14:59:29 | 9 | -106.1868 | 4.2097 | 1.2845 | 0.6222 | 0.6623 | -103.2958
2026-04-02 14:59:40 | 10 | -104.5858 | 4.1579 | 1.2721 | 0.6143 | 0.6578 | -103.5904
2026-04-02 14:59:52 | 11 | -102.5058 | 4.1352 | 1.2645 | 0.6057 | 0.6588 | -96.2074
2026-04-02 15:00:04 | 12 | -94.9540 | 4.1043 | 1.2523 | 0.5974 | 0.6550 | -94.4414
2026-04-02 15:00:16 | 13 | -88.3972 | 4.0766 | 1.2493 | 0.5896 | 0.6597 | -85.0828
2026-04-02 15:00:27 | 14 | -91.0917 | 4.0532 | 1.2454 | 0.5813 | 0.6640 | -78.1595
2026-04-02 15:00:39 | 15 | -78.5787 | 4.0164 | 1.2346 | 0.5739 | 0.6607 | -77.2694
2026-04-02 15:00:50 | 16 | -80.7239 | 3.9872 | 1.2273 | 0.5664 | 0.6609 | -76.4732
2026-04-02 15:01:02 | 17 | -66.6169 | 3.9590 | 1.2306 | 0.5586 | 0.6720 | -67.9899
2026-04-02 15:01:14 | 18 | -68.5445 | 3.9321 | 1.2259 | 0.5524 | 0.6735 | -62.4487
2026-04-02 15:01:25 | 19 | -63.9006 | 3.9024 | 1.2268 | 0.5446 | 0.6822 | -58.6051
2026-04-02 15:01:36 | 20 | -56.7742 | 3.8813 | 1.2165 | 0.5394 | 0.6771 | -57.1004
2026-04-02 15:01:48 | 21 | -57.8833 | 3.8611 | 1.2208 | 0.5316 | 0.6893 | -51.7604
